gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,reading_score,writing_score,math_score
female,group B,master's degree,free/reduced,completed,78,76,55
female,group A,high school,standard,completed,56,53,44
female,group B,some high school,free/reduced,none,78,78,66
female,group A,high school,standard,completed,81,79,67
male,group B,bachelor's degree,free/reduced,none,79,77,55
male,group A,some high school,standard,completed,66,70,39
male,group A,some high school,free/reduced,none,67,64,51
male,group C,master's degree,free/reduced,none,84,82,65
female,group A,high school,free/reduced,none,70,75,57
female,group A,high school,standard,none,55,47,42
female,group C,associate's degree,standard,completed,63,61,45
male,group E,bachelor's degree,standard,completed,92,83,79
female,group E,master's degree,standard,none,49,46,44
male,group C,some college,free/reduced,none,89,87,78
male,group D,master's degree,free/reduced,none,70,68,69
female,group A,some high school,free/reduced,completed,50,48,43
female,group A,master's degree,standard,completed,81,82,65
female,group C,associate's degree,free/reduced,none,59,53,43
male,group C,master's degree,free/reduced,completed,71,72,64
female,group D,associate's degree,free/reduced,none,42,39,33
male,group E,some high school,standard,completed,90,93,54
female,group B,associate's degree,standard,none,65,64,45
male,group E,high school,free/reduced,none,60,57,61
male,group A,some college,standard,none,72,65,36
female,group C,some high school,standard,completed,83,84,70
male,group D,associate's degree,free/reduced,none,67,66,58
male,group E,bachelor's degree,free/reduced,completed,82,89,67
female,group D,some high school,standard,completed,69,76,51
male,group E,bachelor's degree,standard,none,71,68,44
female,group A,some college,free/reduced,none,57,45,42
male,group B,associate's degree,free/reduced,none,85,89,66
female,group D,some high school,free/reduced,completed,80,77,78
female,group D,some high school,free/reduced,completed,78,76,66
male,group B,some college,free/reduced,completed,86,91,66
male,group D,high school,free/reduced,completed,54,55,46
male,group D,bachelor's degree,free/reduced,completed,71,75,51
male,group E,some high school,standard,completed,86,91,68
male,group E,master's degree,standard,completed,69,68,36
female,group B,bachelor's degree,free/reduced,none,72,75,55
male,group A,associate's degree,standard,none,71,71,62
female,group D,some college,standard,none,77,79,60
female,group A,bachelor's degree,free/reduced,completed,41,41,41
male,group B,master's degree,free/reduced,none,71,77,71
female,group B,master's degree,free/reduced,completed,75,68,64
female,group E,some college,standard,completed,75,72,78
female,group D,some college,free/reduced,completed,94,93,85
female,group C,bachelor's degree,free/reduced,completed,61,61,49
male,group B,associate's degree,standard,none,94,87,70
female,group D,high school,free/reduced,completed,64,60,45
male,group A,master's degree,standard,none,49,49,32
male,group E,some college,standard,completed,92,89,75
female,group A,high school,free/reduced,none,85,76,60
male,group B,high school,free/reduced,completed,72,70,43
male,group B,high school,free/reduced,completed,61,54,53
male,group A,associate's degree,standard,none,66,69,48
female,group B,some college,free/reduced,none,73,74,43
male,group D,master's degree,standard,none,90,94,84
male,group B,some college,free/reduced,completed,50,51,51
male,group E,bachelor's degree,free/reduced,completed,66,60,38
female,group D,master's degree,free/reduced,completed,66,50,41
male,group C,some college,free/reduced,none,62,67,43
female,group B,master's degree,standard,none,60,57,40
female,group B,bachelor's degree,free/reduced,none,94,82,49
female,group E,some high school,free/reduced,completed,57,64,44
female,group E,master's degree,free/reduced,completed,72,74,54
female,group A,some high school,free/reduced,none,52,59,60
female,group A,high school,standard,completed,83,85,68
male,group A,associate's degree,standard,completed,62,65,45
female,group E,bachelor's degree,free/reduced,completed,36,33,29
male,group A,master's degree,standard,none,84,87,54
male,group A,bachelor's degree,free/reduced,none,61,70,53
female,group C,high school,standard,none,89,93,66
male,group A,some high school,free/reduced,completed,86,84,69
male,group B,associate's degree,standard,none,68,61,56
male,group E,bachelor's degree,standard,none,75,80,56
male,group D,some high school,standard,completed,71,71,59
female,group C,high school,standard,completed,48,48,31
male,group E,high school,standard,completed,91,81,58
female,group E,high school,free/reduced,completed,66,55,57
male,group B,some high school,standard,none,70,70,66
male,group A,master's degree,free/reduced,completed,70,65,56
female,group B,some college,free/reduced,completed,66,67,61
male,group A,bachelor's degree,free/reduced,completed,79,83,49
male,group A,some college,free/reduced,completed,68,65,61
male,group E,high school,free/reduced,completed,62,63,64
female,group A,some college,free/reduced,completed,63,62,56
male,group C,some high school,free/reduced,none,94,100,76
female,group C,high school,free/reduced,none,70,67,41
male,group C,high school,free/reduced,none,94,90,79
female,group E,associate's degree,free/reduced,none,55,52,48
female,group B,associate's degree,free/reduced,completed,60,65,60
male,group D,some high school,standard,completed,62,59,45
male,group A,some high school,free/reduced,completed,68,71,49
female,group D,some college,free/reduced,none,59,59,39
female,group B,bachelor's degree,free/reduced,completed,68,68,45
male,group B,some college,standard,completed,73,81,66
female,group E,some high school,standard,completed,85,75,63
male,group C,bachelor's degree,free/reduced,completed,49,49,43
male,group C,some college,standard,none,83,86,69
male,group B,master's degree,standard,completed,81,82,61
male,group E,master's degree,free/reduced,completed,55,47,32
female,group E,bachelor's degree,free/reduced,completed,58,52,57
male,group A,associate's degree,standard,none,75,76,62
female,group C,bachelor's degree,standard,completed,60,48,55
male,group B,some college,free/reduced,completed,90,87,75
female,group D,high school,free/reduced,completed,69,62,48
male,group C,master's degree,free/reduced,completed,51,51,36
female,group A,high school,free/reduced,completed,53,52,33
female,group E,master's degree,free/reduced,completed,47,48,50
male,group B,some college,free/reduced,completed,68,63,66
male,group C,master's degree,standard,none,69,70,52
male,group D,bachelor's degree,free/reduced,none,77,77,68
male,group A,high school,free/reduced,completed,88,83,64
female,group A,some high school,standard,completed,70,75,43
male,group C,high school,free/reduced,none,89,92,66
female,group D,some college,free/reduced,none,59,55,52
female,group A,some high school,standard,none,47,43,46
male,group B,high school,standard,none,81,85,66
female,group A,some college,free/reduced,completed,80,71,53
female,group D,associate's degree,standard,completed,73,66,44
female,group E,bachelor's degree,free/reduced,completed,80,82,61
female,group E,master's degree,free/reduced,completed,35,44,29
male,group C,master's degree,standard,completed,62,58,45
male,group D,master's degree,free/reduced,none,86,83,55
male,group A,associate's degree,free/reduced,none,66,64,55
male,group A,bachelor's degree,free/reduced,none,79,76,62
female,group E,high school,free/reduced,none,100,100,77
female,group E,high school,standard,none,85,81,66
male,group B,bachelor's degree,standard,completed,64,64,56
male,group E,some high school,free/reduced,none,43,46,41
male,group B,bachelor's degree,free/reduced,none,80,80,76
female,group A,master's degree,free/reduced,completed,39,38,43
male,group B,high school,free/reduced,completed,58,54,49
male,group B,bachelor's degree,free/reduced,completed,58,52,42
male,group C,high school,standard,completed,68,61,45
female,group E,bachelor's degree,standard,completed,74,66,64
female,group B,some college,standard,none,57,60,34
female,group A,master's degree,free/reduced,completed,85,82,67
female,group D,bachelor's degree,free/reduced,completed,91,92,63
female,group B,associate's degree,free/reduced,none,66,62,60
female,group E,bachelor's degree,standard,none,86,85,76
female,group C,some college,free/reduced,completed,59,57,46
female,group A,associate's degree,standard,completed,54,61,74
male,group C,associate's degree,free/reduced,none,86,83,60
male,group D,bachelor's degree,free/reduced,completed,73,77,64
female,group B,some college,free/reduced,completed,75,68,62
female,group B,associate's degree,free/reduced,completed,97,100,81
male,group E,master's degree,standard,completed,79,83,62
female,group B,some high school,free/reduced,completed,100,100,81
female,group A,master's degree,free/reduced,none,71,67,72
female,group D,high school,standard,none,92,97,76
male,group C,high school,standard,completed,69,73,63
male,group D,some college,standard,completed,52,50,24
male,group B,associate's degree,free/reduced,none,82,77,62
male,group C,master's degree,free/reduced,none,69,74,80
male,group E,master's degree,free/reduced,none,100,98,74
female,group D,some high school,free/reduced,completed,78,79,57
male,group C,some college,standard,none,84,81,83
female,group C,associate's degree,standard,completed,46,44,29
female,group C,some college,standard,completed,80,89,60
male,group A,bachelor's degree,standard,completed,68,67,61
male,group D,master's degree,standard,completed,58,65,72
female,group C,some college,free/reduced,completed,91,83,78
female,group D,some college,free/reduced,none,50,41,37
female,group C,some high school,free/reduced,none,75,77,74
male,group E,bachelor's degree,standard,none,60,56,44
male,group E,high school,standard,none,74,73,53
male,group E,master's degree,free/reduced,completed,65,54,62
male,group B,some high school,free/reduced,none,67,56,62
male,group C,some college,free/reduced,none,70,70,52
female,group B,master's degree,free/reduced,none,55,52,53
male,group D,high school,free/reduced,none,85,83,80
female,group B,some college,free/reduced,none,79,87,64
female,group D,bachelor's degree,standard,none,55,57,46
female,group D,master's degree,free/reduced,completed,91,100,64
male,group D,some high school,standard,completed,81,81,64
male,group B,bachelor's degree,free/reduced,none,71,78,53
male,group C,high school,standard,completed,48,52,37
female,group B,high school,standard,completed,60,57,33
female,group C,master's degree,standard,completed,41,40,45
female,group C,high school,free/reduced,completed,72,70,67
female,group D,associate's degree,free/reduced,completed,82,87,80
female,group B,some high school,free/reduced,none,59,60,47
female,group C,master's degree,free/reduced,completed,70,65,50
male,group E,associate's degree,standard,completed,84,77,67
male,group C,high school,free/reduced,none,60,53,48
male,group E,master's degree,free/reduced,completed,78,73,75
male,group B,associate's degree,free/reduced,completed,100,96,80
female,group B,high school,standard,none,81,74,63
female,group B,some college,standard,completed,54,59,53
male,group C,some college,free/reduced,none,69,61,33
female,group A,bachelor's degree,free/reduced,completed,80,82,79
male,group C,some college,free/reduced,completed,77,88,73
male,group C,associate's degree,free/reduced,none,53,53,47
male,group D,some high school,standard,completed,76,76,67
female,group D,some college,free/reduced,none,66,67,62
male,group C,master's degree,free/reduced,completed,63,55,73
male,group E,master's degree,standard,completed,78,80,59
male,group D,master's degree,free/reduced,completed,96,97,88
female,group C,some college,free/reduced,completed,58,57,50
female,group A,some college,free/reduced,none,76,67,49
male,group E,bachelor's degree,standard,completed,68,77,69
female,group B,some high school,standard,completed,79,80,67
female,group C,some high school,free/reduced,none,71,64,58
female,group C,high school,free/reduced,none,61,55,49
female,group E,bachelor's degree,standard,none,60,56,51
female,group D,associate's degree,standard,completed,76,83,72
female,group D,master's degree,standard,none,71,70,52
female,group D,some college,free/reduced,none,79,78,62
female,group B,high school,standard,none,46,43,46
female,group E,high school,standard,none,86,91,61
female,group E,some college,standard,completed,91,96,85
male,group D,bachelor's degree,free/reduced,completed,72,64,54
male,group D,high school,standard,completed,79,78,73
female,group A,some high school,free/reduced,none,84,82,72
male,group A,bachelor's degree,free/reduced,none,67,62,47
male,group C,some college,free/reduced,none,73,70,53
female,group C,bachelor's degree,free/reduced,completed,77,75,54
female,group E,some high school,standard,none,62,56,36
female,group E,master's degree,free/reduced,none,72,73,59
male,group B,some college,free/reduced,completed,39,40,34
male,group B,some high school,free/reduced,completed,60,62,55
female,group A,some college,standard,completed,91,88,69
female,group C,some high school,standard,completed,75,64,62
female,group A,some high school,standard,completed,58,54,56
male,group A,high school,standard,none,51,45,57
male,group C,high school,free/reduced,none,100,100,71
male,group B,high school,free/reduced,none,59,61,61
male,group C,master's degree,free/reduced,completed,62,71,57
female,group D,master's degree,standard,completed,78,73,64
female,group D,some high school,standard,completed,57,57,42
female,group D,associate's degree,standard,completed,75,75,72
female,group E,some college,free/reduced,none,70,77,62
male,group B,high school,free/reduced,none,52,53,30
male,group B,some college,free/reduced,none,70,68,39
female,group E,some high school,standard,none,74,73,60
female,group A,bachelor's degree,standard,none,54,55,49
male,group D,some high school,free/reduced,none,77,80,57
female,group D,master's degree,standard,none,80,88,64
male,group A,associate's degree,free/reduced,none,54,61,57
female,group C,bachelor's degree,free/reduced,completed,77,73,57
female,group C,some college,standard,none,73,65,61
female,group B,master's degree,free/reduced,none,64,57,44
female,group E,high school,free/reduced,completed,66,67,65
female,group B,bachelor's degree,free/reduced,completed,75,80,66
female,group C,master's degree,free/reduced,none,61,59,50
female,group A,some college,free/reduced,none,78,73,75
male,group B,some high school,standard,completed,57,49,29
male,group D,some college,free/reduced,completed,59,66,57
male,group D,bachelor's degree,standard,completed,50,47,24
male,group A,bachelor's degree,free/reduced,none,44,36,34
male,group C,some high school,standard,completed,72,71,59
female,group D,bachelor's degree,standard,none,40,40,37
female,group D,associate's degree,standard,completed,74,78,45
male,group E,high school,free/reduced,none,68,62,55
female,group B,master's degree,standard,completed,98,100,93
male,group C,some high school,free/reduced,none,79,85,61
male,group B,some college,free/reduced,completed,77,77,56
female,group C,some college,standard,completed,59,62,44
female,group D,high school,standard,none,61,65,60
female,group E,bachelor's degree,free/reduced,none,63,59,42
male,group B,bachelor's degree,free/reduced,none,69,62,50
female,group D,some college,free/reduced,completed,61,58,57
male,group C,high school,standard,completed,78,69,52
male,group B,some college,free/reduced,completed,64,66,63
male,group B,bachelor's degree,free/reduced,completed,86,93,67
female,group D,some high school,free/reduced,completed,57,52,43
female,group B,master's degree,free/reduced,none,81,78,73
male,group E,bachelor's degree,free/reduced,none,98,96,87
female,group E,some high school,free/reduced,completed,96,100,75
female,group D,master's degree,free/reduced,completed,57,54,36
female,group C,associate's degree,free/reduced,none,87,92,87
male,group D,high school,free/reduced,completed,36,36,27
male,group E,some high school,free/reduced,none,46,30,35
female,group A,associate's degree,free/reduced,none,79,76,70
male,group A,bachelor's degree,free/reduced,none,76,80,56
female,group B,high school,standard,none,79,76,50
female,group B,some high school,free/reduced,none,62,64,57
female,group A,bachelor's degree,free/reduced,completed,53,61,32
female,group E,high school,free/reduced,none,42,44,25
male,group B,high school,free/reduced,completed,57,53,51
male,group D,bachelor's degree,free/reduced,none,79,82,69
male,group D,bachelor's degree,standard,completed,82,84,70
female,group E,some high school,free/reduced,none,74,78,56
female,group B,high school,standard,completed,72,71,70
female,group D,some high school,free/reduced,completed,95,90,65
male,group B,high school,standard,none,91,93,54
female,group B,some high school,standard,none,84,86,51
male,group D,bachelor's degree,free/reduced,none,87,84,70
male,group A,bachelor's degree,standard,completed,75,67,56
male,group D,some college,standard,none,77,74,68
male,group E,some high school,free/reduced,none,58,52,50
male,group C,some college,standard,completed,75,73,58
male,group D,some college,standard,none,60,63,35
female,group B,associate's degree,standard,none,88,77,60
female,group B,high school,free/reduced,completed,79,80,58
male,group D,master's degree,free/reduced,none,63,65,67
male,group C,associate's degree,free/reduced,completed,80,75,61
female,group D,high school,free/reduced,none,86,87,79
male,group C,master's degree,standard,completed,56,61,48
male,group C,some college,free/reduced,completed,66,68,52
female,group E,master's degree,standard,none,55,65,43
male,group B,bachelor's degree,free/reduced,completed,69,69,60
male,group B,bachelor's degree,free/reduced,none,90,95,63
male,group C,some high school,standard,completed,70,80,59
female,group B,high school,standard,completed,78,80,64
female,group A,associate's degree,free/reduced,none,61,69,54
female,group C,some college,free/reduced,none,82,84,58
male,group B,high school,free/reduced,none,69,76,54
male,group A,some college,free/reduced,completed,81,75,65
female,group E,bachelor's degree,free/reduced,none,83,83,68
male,group B,associate's degree,standard,completed,54,66,60
male,group A,associate's degree,free/reduced,completed,59,49,41
male,group D,bachelor's degree,standard,none,63,59,37
male,group D,master's degree,free/reduced,completed,96,100,73
male,group A,associate's degree,free/reduced,none,90,89,61
female,group C,master's degree,standard,completed,71,70,72
male,group C,some college,free/reduced,none,100,100,88
female,group B,associate's degree,standard,completed,50,56,45
male,group D,some high school,standard,completed,66,64,55
female,group C,bachelor's degree,free/reduced,none,87,78,65
male,group C,master's degree,standard,completed,70,65,40
female,group D,some high school,free/reduced,completed,57,54,40
male,group E,some college,free/reduced,completed,75,69,33
female,group C,some college,free/reduced,completed,100,100,86
male,group A,associate's degree,free/reduced,completed,57,57,46
female,group B,associate's degree,free/reduced,none,59,54,45
male,group C,some high school,free/reduced,none,53,61,38
female,group C,high school,free/reduced,completed,63,60,48
female,group E,high school,standard,none,86,78,71
male,group A,associate's degree,free/reduced,none,93,98,80
male,group B,high school,standard,completed,51,67,36
female,group C,bachelor's degree,free/reduced,none,79,77,55
male,group B,some high school,free/reduced,completed,81,82,71
female,group D,bachelor's degree,standard,none,59,65,46
female,group C,high school,standard,completed,81,79,82
female,group C,associate's degree,standard,completed,75,84,53
male,group D,bachelor's degree,standard,completed,86,77,63
female,group E,some college,free/reduced,completed,36,35,24
female,group C,associate's degree,free/reduced,none,74,69,55
male,group B,some high school,standard,none,82,76,53
male,group A,master's degree,free/reduced,completed,85,81,47
male,group B,master's degree,standard,none,82,84,72
male,group E,associate's degree,standard,completed,51,55,57
female,group A,high school,standard,completed,91,94,69
female,group B,bachelor's degree,standard,none,81,73,64
female,group B,bachelor's degree,standard,completed,70,72,55
female,group D,associate's degree,free/reduced,completed,70,69,53
male,group E,some college,standard,none,96,93,69
female,group D,some high school,standard,completed,80,78,70
female,group A,high school,free/reduced,completed,72,80,63
male,group D,some college,standard,none,57,55,38
female,group E,associate's degree,standard,none,66,69,61
female,group C,associate's degree,free/reduced,completed,57,62,61
female,group C,some college,free/reduced,none,43,47,47
female,group A,master's degree,free/reduced,none,73,70,55
female,group C,associate's degree,free/reduced,none,43,40,24
female,group D,some high school,free/reduced,none,60,61,39
male,group A,high school,standard,none,65,62,46
male,group E,some college,standard,none,48,43,32
female,group A,master's degree,standard,completed,85,85,76
female,group A,some college,free/reduced,completed,68,63,33
male,group B,master's degree,free/reduced,none,35,32,26
female,group B,master's degree,free/reduced,none,82,80,59
female,group A,some high school,free/reduced,none,96,93,68
female,group C,high school,free/reduced,completed,72,70,61
male,group B,associate's degree,free/reduced,completed,79,76,55
female,group E,master's degree,standard,completed,74,84,61
male,group D,associate's degree,free/reduced,completed,78,86,74
female,group B,high school,standard,none,61,58,44
male,group A,associate's degree,standard,none,58,55,57
male,group C,some high school,standard,none,54,52,34
female,group D,some high school,free/reduced,none,71,72,28
male,group B,bachelor's degree,free/reduced,none,79,78,67
female,group C,some high school,free/reduced,completed,79,79,66
male,group C,master's degree,free/reduced,none,63,66,61
female,group C,high school,free/reduced,completed,67,62,55
female,group A,some high school,standard,none,67,64,67
male,group E,some college,standard,none,62,54,49
female,group C,high school,free/reduced,completed,41,38,41
female,group D,master's degree,standard,completed,67,67,62
male,group B,high school,standard,none,65,65,46
female,group D,some high school,free/reduced,completed,69,75,53
female,group A,some college,standard,completed,62,57,45
male,group A,bachelor's degree,standard,completed,74,65,77
male,group D,master's degree,free/reduced,none,100,100,74
female,group E,master's degree,standard,none,81,80,68
female,group A,high school,free/reduced,none,62,66,52
male,group A,associate's degree,free/reduced,completed,66,66,55
male,group D,associate's degree,free/reduced,completed,68,74,57
female,group A,some college,standard,none,71,70,52
male,group E,bachelor's degree,standard,none,69,66,42
female,group E,bachelor's degree,standard,completed,63,66,42
female,group E,high school,free/reduced,none,62,64,57
female,group B,high school,standard,none,79,75,66
female,group E,associate's degree,standard,completed,66,68,55
female,group E,some high school,free/reduced,completed,78,80,81
male,group B,bachelor's degree,free/reduced,none,66,65,76
male,group C,some high school,free/reduced,completed,42,47,26
male,group A,bachelor's degree,standard,completed,54,61,60
male,group E,some high school,free/reduced,none,45,42,22
female,group A,some high school,standard,completed,73,75,54
female,group D,bachelor's degree,free/reduced,completed,44,44,36
female,group A,some college,free/reduced,none,62,59,56
female,group B,some college,free/reduced,completed,64,63,38
male,group A,high school,free/reduced,completed,66,57,49
female,group A,some high school,standard,none,83,88,69
female,group A,some high school,standard,completed,85,88,54
male,group C,some high school,standard,none,58,48,46
male,group C,some high school,free/reduced,none,69,68,53
male,group D,some high school,standard,completed,63,64,56
male,group B,associate's degree,free/reduced,none,76,80,57
female,group A,master's degree,free/reduced,none,68,66,49
female,group A,some high school,standard,completed,76,74,82
male,group A,associate's degree,free/reduced,none,52,53,34
female,group A,some college,free/reduced,none,73,69,54
female,group C,some high school,standard,completed,48,56,36
female,group D,some college,standard,none,58,58,47
male,group E,high school,free/reduced,none,71,71,59
female,group B,master's degree,standard,completed,40,46,46
male,group A,bachelor's degree,free/reduced,completed,37,36,23
female,group D,master's degree,standard,none,52,58,41
female,group E,some high school,free/reduced,none,55,46,42
female,group D,some high school,free/reduced,none,57,62,29
male,group C,master's degree,free/reduced,completed,62,67,63
female,group E,master's degree,standard,none,74,63,22
male,group D,high school,standard,completed,99,97,85
male,group C,some college,free/reduced,none,60,62,83
male,group D,bachelor's degree,standard,none,75,79,67
female,group D,master's degree,standard,completed,88,94,79
female,group E,bachelor's degree,standard,none,85,77,65
female,group C,master's degree,free/reduced,completed,58,58,38
female,group A,some college,standard,completed,83,78,72
male,group B,bachelor's degree,standard,none,89,85,55
male,group E,associate's degree,standard,none,92,96,63
male,group C,some college,free/reduced,completed,93,89,68
female,group D,bachelor's degree,free/reduced,completed,53,53,47
male,group C,master's degree,free/reduced,completed,73,70,44
female,group B,master's degree,standard,none,59,64,55
male,group B,some college,free/reduced,none,50,40,40
female,group A,some college,standard,none,77,83,64
female,group A,master's degree,standard,none,73,80,44
male,group B,bachelor's degree,free/reduced,completed,72,74,67
male,group E,associate's degree,standard,completed,62,63,47
male,group E,high school,free/reduced,completed,100,95,77
male,group D,some college,standard,none,92,95,69
female,group A,master's degree,standard,none,63,68,36
male,group D,bachelor's degree,standard,none,69,69,45
male,group A,some college,standard,completed,77,73,69
male,group B,bachelor's degree,standard,completed,85,92,86
female,group E,some college,free/reduced,completed,77,72,65
female,group E,master's degree,free/reduced,completed,71,76,66
male,group B,bachelor's degree,free/reduced,none,48,50,55
female,group D,master's degree,free/reduced,none,99,98,95
male,group D,bachelor's degree,standard,none,60,72,58
female,group C,some college,standard,completed,85,87,62
female,group A,high school,free/reduced,completed,70,72,37
female,group D,high school,free/reduced,completed,88,90,71
female,group B,associate's degree,standard,completed,50,51,42
male,group D,associate's degree,free/reduced,none,60,59,73
male,group E,some high school,standard,none,67,70,61
male,group A,master's degree,standard,completed,56,56,46
female,group C,bachelor's degree,free/reduced,none,61,51,35
male,group A,associate's degree,standard,completed,89,84,70
male,group E,some college,standard,completed,78,83,76
male,group E,high school,free/reduced,completed,91,95,72
female,group E,bachelor's degree,free/reduced,completed,70,64,40
female,group E,some high school,standard,completed,67,64,43
female,group B,high school,free/reduced,none,50,46,24
male,group C,bachelor's degree,standard,none,85,92,63
male,group E,associate's degree,free/reduced,none,67,59,39
male,group E,associate's degree,standard,none,72,68,61
female,group D,master's degree,standard,none,61,61,55
female,group C,some high school,standard,none,100,100,95
male,group A,bachelor's degree,standard,completed,71,71,56
female,group C,some high school,standard,completed,59,53,44
female,group C,some college,standard,none,52,47,43
female,group C,some high school,standard,completed,77,74,54
female,group E,associate's degree,standard,completed,58,57,34
male,group E,master's degree,standard,completed,63,60,40
female,group B,associate's degree,free/reduced,none,47,47,43
female,group A,high school,standard,none,71,77,68
female,group D,associate's degree,free/reduced,none,70,74,81
female,group C,bachelor's degree,free/reduced,completed,97,100,68
male,group A,master's degree,free/reduced,none,61,60,37
male,group A,bachelor's degree,standard,none,37,36,10
female,group B,some college,standard,none,66,67,54
female,group D,some college,free/reduced,completed,89,81,73
female,group C,associate's degree,standard,none,79,84,58
female,group D,master's degree,standard,none,86,84,52
female,group B,some high school,standard,none,76,75,80
female,group E,master's degree,standard,completed,63,65,54
male,group A,master's degree,standard,none,53,49,28
female,group C,master's degree,standard,none,55,51,38
male,group E,associate's degree,free/reduced,completed,60,61,71
male,group B,bachelor's degree,free/reduced,none,79,81,73
female,group D,associate's degree,free/reduced,none,68,79,55
male,group A,some high school,free/reduced,none,43,44,25
male,group C,bachelor's degree,free/reduced,none,74,76,73
male,group E,some high school,standard,completed,88,99,60
male,group E,high school,standard,completed,46,47,42
male,group A,high school,standard,completed,78,80,68
male,group D,bachelor's degree,free/reduced,none,38,23,35
female,group B,associate's degree,free/reduced,none,56,54,49
male,group D,some high school,standard,none,50,51,46
male,group D,some high school,free/reduced,none,80,76,65
male,group D,some college,standard,completed,94,95,78
female,group A,some high school,standard,none,85,88,87
male,group A,associate's degree,standard,completed,85,89,69
female,group B,some college,free/reduced,none,56,55,53
male,group D,associate's degree,free/reduced,none,78,70,55
female,group A,master's degree,standard,completed,73,73,48
female,group B,some high school,standard,none,52,49,35
male,group B,master's degree,free/reduced,none,86,82,64
male,group D,high school,free/reduced,none,76,74,49
female,group C,high school,free/reduced,none,66,64,37
male,group D,bachelor's degree,free/reduced,completed,82,80,76
female,group C,some high school,standard,none,72,69,50
female,group B,some college,standard,completed,88,95,70
female,group A,master's degree,free/reduced,completed,98,99,73
female,group E,associate's degree,free/reduced,none,65,66,29
female,group B,some high school,free/reduced,none,65,67,69
male,group A,bachelor's degree,free/reduced,completed,62,55,37
female,group B,associate's degree,standard,completed,70,75,68
female,group D,master's degree,free/reduced,none,90,100,66
male,group C,some high school,free/reduced,none,54,49,43
female,group B,master's degree,standard,completed,49,45,47
male,group A,some high school,free/reduced,none,73,70,45
male,group D,some high school,standard,none,69,70,51
male,group E,master's degree,standard,completed,72,71,50
female,group D,master's degree,standard,none,40,37,26
female,group C,associate's degree,free/reduced,completed,93,95,82
female,group D,bachelor's degree,standard,none,73,74,72
male,group E,master's degree,free/reduced,completed,100,100,76
female,group A,high school,free/reduced,completed,76,76,63
male,group B,bachelor's degree,standard,completed,63,62,36
female,group C,high school,standard,completed,73,70,81
male,group E,associate's degree,standard,completed,92,93,79
female,group C,master's degree,free/reduced,none,59,53,53
female,group D,bachelor's degree,free/reduced,none,78,83,59
female,group C,master's degree,standard,completed,76,79,72
male,group E,some high school,free/reduced,completed,78,79,64
male,group B,master's degree,standard,completed,56,53,53
female,group B,bachelor's degree,free/reduced,completed,79,87,57
female,group C,master's degree,free/reduced,completed,78,75,63
male,group A,master's degree,free/reduced,none,93,88,52
male,group C,some college,free/reduced,completed,96,94,82
male,group D,some college,standard,none,75,79,67
female,group B,bachelor's degree,standard,completed,73,80,42
male,group B,bachelor's degree,standard,completed,55,60,34
female,group B,some high school,free/reduced,none,67,60,42
male,group A,some high school,free/reduced,completed,63,62,54
female,group A,master's degree,standard,completed,84,81,37
male,group E,high school,standard,none,74,75,79
male,group C,bachelor's degree,standard,none,55,53,35
male,group C,master's degree,free/reduced,completed,57,60,76
male,group D,high school,standard,none,100,100,80
male,group B,some college,standard,completed,63,58,24
female,group A,some high school,standard,none,80,86,50
male,group D,bachelor's degree,standard,completed,70,69,55
male,group D,master's degree,standard,none,66,70,40
male,group A,some college,standard,completed,87,81,57
female,group C,associate's degree,standard,none,63,58,23
male,group B,some college,standard,none,65,58,44
female,group C,master's degree,standard,completed,90,86,85
male,group D,some high school,free/reduced,completed,64,60,42
male,group B,high school,standard,completed,48,44,42
female,group E,associate's degree,standard,none,53,52,31
male,group D,associate's degree,standard,completed,77,72,69
female,group C,some high school,free/reduced,completed,59,55,40
female,group C,associate's degree,free/reduced,none,86,87,71
male,group C,bachelor's degree,standard,none,70,79,51
female,group A,master's degree,free/reduced,completed,81,83,62
male,group D,associate's degree,free/reduced,completed,75,76,47
male,group B,some college,standard,none,85,83,83
female,group C,high school,free/reduced,none,98,88,74
female,group C,master's degree,free/reduced,completed,78,77,54
female,group A,some high school,standard,none,77,71,56
female,group B,some college,standard,none,86,91,74
male,group D,bachelor's degree,free/reduced,completed,61,68,58
male,group E,associate's degree,standard,completed,78,73,54
female,group A,some college,standard,completed,56,55,51
male,group D,master's degree,standard,none,58,51,43
male,group E,some college,free/reduced,completed,62,66,42
male,group C,bachelor's degree,standard,none,89,95,69
male,group C,high school,free/reduced,none,67,69,48
female,group B,associate's degree,free/reduced,none,58,59,65
female,group E,master's degree,standard,none,81,80,65
male,group C,associate's degree,free/reduced,completed,45,47,44
female,group C,associate's degree,standard,none,41,39,44
female,group B,some high school,standard,completed,66,64,52
female,group D,associate's degree,standard,none,65,71,63
male,group C,some college,standard,none,85,88,69
male,group A,some college,standard,completed,88,85,68
male,group A,high school,free/reduced,completed,68,77,54
female,group D,bachelor's degree,free/reduced,completed,66,62,46
male,group E,master's degree,standard,completed,58,67,55
male,group B,some college,free/reduced,completed,68,61,40
female,group A,associate's degree,free/reduced,completed,31,30,12
male,group A,bachelor's degree,free/reduced,none,63,65,60
male,group D,master's degree,free/reduced,completed,68,69,66
female,group E,master's degree,standard,none,58,58,63
female,group E,master's degree,standard,none,60,66,46
female,group D,master's degree,standard,completed,65,67,35
male,group A,high school,free/reduced,none,69,71,37
male,group B,master's degree,free/reduced,none,82,78,77
